,log10(Energy_Flux100),LP_beta,log10(LP_EPeak),GLON,GLAT,Signif_Avg,CLASS1,1_PDF,2_PDF,3_PDF,4_PDF
4FGL J1256.9+2736,-11.751899,0.1959506571292877,-0.8881118,54.57951736450195,88.6822280883789,5.560482025146484,unas,0.8530408109213798,0.01305675060209173,0.11767885445952002,0.016223584017008342
4FGL J1257.0-6339,-10.801754,0.2220117300748825,-0.013040304,303.55364990234375,-0.7909165024757385,17.51946449279785,unas,0.004798839923939666,1.9198030388099495e-05,0.05136503165446023,0.943816930391212
4FGL J1257.2+3646,-11.323392,0.1292969435453415,0.5270574,116.03266143798828,80.27978515625,25.640810012817383,bll,0.07529193490362918,0.04175103470217823,0.8270565961681793,0.05590043422601329
4FGL J1257.6+2413,-11.990773,0.0354656837880611,1.6804714,329.0687561035156,86.76988983154297,6.095922946929932,bll,0.0032047126139721476,0.9815782075020427,0.01521707985252872,3.1456306693920246e-11
4FGL J1257.8+3228,-10.8955555,0.1077269241213798,-0.5527983,108.64683532714844,84.47606658935547,48.38364791870117,fsrq,0.7094981863756076,0.009200585518401558,0.03567410824712568,0.2456271198588651
4FGL J1258.3+6121,-11.92149,0.1747314929962158,0.7669647,121.46024322509766,55.74629211425781,10.526659965515137,bll,0.1617687552316496,0.8089266258311605,0.02717897770425255,0.0021256412329372846
4FGL J1258.5-3406,-11.586579,0.0951195582747459,-0.1875875,304.6153869628906,28.744539260864258,7.82884407043457,unas,0.33905420141116266,0.44371853044013,0.0902338716896895,0.1269933964590178
4FGL J1258.6-1759,-11.023254,0.1510448902845382,-0.45172954,305.3520202636719,44.842037200927734,28.150171279907227,fsrq,0.5384797540251777,0.0010339381599761906,0.08979839025159672,0.3706879175632493
4FGL J1258.7-0452,-11.736773,0.2028678953647613,1.2120924,306.3610534667969,57.955631256103516,8.093704223632812,bll,0.01618031826432908,0.957578296827947,0.026221165493176463,2.0219414547460623e-05
4FGL J1258.8-2219,-10.710918,0.090300053358078,-0.86590743,305.1925048828125,40.513431549072266,40.92560577392578,fsrq,0.8770445876599291,0.01590986668821162,0.04577111404895488,0.061274431602904425
4FGL J1259.0-8148,-11.345522,0.3086371421813965,-0.20910478,303.2182922363281,-18.94878387451172,14.97823429107666,msp,0.1260167029369109,0.00044164280992778994,0.19422240777263172,0.6793192464805297
4FGL J1259.1-2311,-11.0382805,0.0198021605610847,0.13974595,305.2244567871094,39.64505386352539,24.283870697021484,bll,0.0339269538326667,0.10142389115735767,0.44673083725417345,0.4179183177558023
4FGL J1259.7-3223,-11.062847,0.1768275946378708,-0.3546512,304.974609375,30.448862075805664,24.284006118774414,bll,0.2362125304348908,0.000408109524905711,0.25392334754725704,0.5094560124929466
4FGL J1259.8-3749,-11.172899,0.0134336994960904,-1.1497432,304.766845703125,25.018346786499023,20.795621871948242,bll,0.5707633063684457,0.012494492383009204,0.407504949662338,0.009237251586207076
4FGL J1300.3+5353,-11.954879,0.3515112996101379,-0.027372122,120.02284240722656,63.178897857666016,4.088537216186523,bll,0.294135101103898,0.08140900655624461,0.0021645687190494,0.6222913236208081
4FGL J1300.4+1416,-11.164788,0.1312298327684402,-1.3005002,312.6913757324219,76.9702377319336,19.57476043701172,fsrq,0.8517112033961394,0.0005795283598050691,0.14754758102480564,0.00016168721924984347
4FGL J1301.6+4056,-11.8454275,0.1564540117979049,0.73631954,114.96046447753906,76.02208709716797,10.09731388092041,bll,0.1457612945879554,0.8131830576900132,0.03888281204923738,0.002172835672794084
4FGL J1301.6+0834,-11.097787,0.4329036772251129,0.04398775,310.8222961425781,71.28936004638672,34.49952697753906,msp,0.0006150731807529153,9.273631067700911e-08,0.4210011696948694,0.5783836643880671
4FGL J1301.6+3336,-11.530118,0.1038081049919128,-1.0403509,104.76232147216797,83.15384674072266,10.918811798095703,fsrq,0.8963853572222532,0.056079696987132395,0.04639101961164018,0.001143926178974191
4FGL J1302.2-0032,-11.748066,0.1271109282970428,-0.9205234,308.7227478027344,62.208614349365234,4.8813395500183105,unas,0.8917099604934167,0.05186474000907799,0.052665606649461655,0.0037596928480437652
4FGL J1302.3+6901,-11.745834,0.1436073780059814,-1.127275,121.47126007080078,48.06428527832031,7.790310382843018,bcu,0.9379966268138863,0.014396599874420692,0.04719657915388687,0.00041019415780605025
4FGL J1302.4-3258,-10.955898,0.6006988883018494,0.35946655,305.6049499511719,29.844968795776367,45.4774169921875,msp,7.623405341904998e-07,1.701272421423288e-13,0.05911608536597113,0.9408831522933245
4FGL J1302.5-6236c,-11.045143,0.0515348836779594,-1.0886873,304.2089538574219,0.23610781133174896,4.625278472900391,unas,0.9034513537144394,0.012800701982696398,0.07725416560710305,0.006493778695761165
4FGL J1303.0+2434,-10.810322,0.0683121234178543,-0.33741283,349.25518798828125,86.3558120727539,53.966094970703125,bll,0.19476646285749458,0.05123386972273076,0.09380969712636826,0.6601899702934064
4FGL J1303.1-4714,-11.707269,0.4014972746372223,0.27564645,304.9955749511719,15.586709976196289,9.479205131530762,unas,0.10334676464766006,0.021003362226801946,0.00435457406451567,0.8712952990610223
4FGL J1303.6-4622,-11.485689,0.1721476912498474,0.23896432,305.1361389160156,16.4517822265625,13.270989418029785,fsrq,0.3382142072147045,0.20893096859716476,0.17798351869675053,0.2748713054913802
4FGL J1304.0-5539,-11.202646,0.1785295456647873,-1.0109547,304.7200622558594,7.176560401916504,7.399992942810059,bcu,0.7291754742332863,0.00014308694448514445,0.261602347171348,0.00907909165088062
